3|null|8h|56bpm|35ms
3|null|8h|56bpm|35ms
3|null|8h|56bpm|35ms
3|null|8h|56bpm|35ms
3|null|8h|56bpm|35ms
3|null|8h|56bpm|35ms
3|null|8h|56bpm|35ms
3|null|8h|56bpm|35ms
3|null|8h|56bpm|35ms
3|null|8h|56bpm|35ms
3|null|8h|56bpm|35ms
3|null|8h|56bpm|35ms
3|null|8h|56bpm|35ms
3|null|8h|56bpm|35ms
3|null|8h|56bpm|35ms
3|null|8h|56bpm|35ms
3|null|8h|56bpm|35ms
3|null|8h|56bpm|35ms
4|null|8h|56bpm|35ms
4|null|8h|56bpm|35ms
4|null|8h|56bpm|35ms
4|null|8h|56bpm|35ms
4|null|8h|56bpm|35ms
4|null|8h|56bpm|35ms
4|null|8h|56bpm|35ms
4|null|8h|56bpm|35ms
4|null|8h|56bpm|35ms
4|null|8h|56bpm|35ms
4|null|8h|56bpm|35ms
4|null|8h|56bpm|35ms
4|null|8h|56bpm|35ms
4|null|8h|56bpm|35ms
4|null|8h|56bpm|35ms
4|null|8h|56bpm|35ms
4|null|8h|56bpm|35ms
4|1.1.2021|8h|56bpm|35ms
4|1.1.2021|8h|56bpm|35ms
